文献编号 (Ref_ID),Material_Type,纳米特征尺寸（Nanoscale_Dimension_nm),表面官能团修饰 (Functional Group),Temperature_K,初始实验压力 (Pressure_MPa),纳米材料促进剂浓度 (Nano_Concentration_wt%),动力学促进剂种类,动力学促进剂浓度（Surfactant_wt%）,热力学促进剂种类,热力学促进剂浓度（Themo_promoter_wt%）,Stirring_rpm,储气量Y ng/nw),,,,
Liu_2020,None,1.0 ,Oxygen,274.15,3.5,0,None,0,None,0,0,0.0077,,,,
Liu_2020,Carbon,1.0 ,Oxygen,274.15,3.5,0.0025,None,0,None,0,0,0.0079,,,,
Liu_2020,Carbon,1.0 ,Oxygen,274.15,3.5,0.004,None,0,None,0,0,0.0094,,,,
Liu_2020,Carbon,1.0 ,Oxygen,274.15,3.5,0.005,None,0,None,0,0,0.01,,,,
Liu_2020,Carbon,1.0 ,Oxygen,274.15,3.5,0.006,None,0,None,0,0,0.0078,,,,
Liu_2020,Carbon,1.0 ,Oxygen,274.15,3.5,0.0075,None,0,None,0,0,0.0077,,,,
Liu_2020,Carbon,1.0 ,Oxygen,274.15,3.5,0.01,None,0,None,0,0,0.0056,,,,
Liu_2020,Carbon,1.0 ,Oxygen,274.15,3.5,0.0125,None,0,None,0,0,0.0055,,,,
Liu_2020,None,0.0 ,None,274.15,3.5,0,SDS,0.3,THF,4.0 ,0,0.0451,,,,
Liu_2020,Carbon,1.0 ,Oxygen,274.15,3.5,0.0025,SDS,0.3,THF,4.0 ,0,0.0483,,,,
Liu_2020,Carbon,1.0 ,Oxygen,274.15,3.5,0.004,SDS,0.3,THF,4.0 ,0,0.0477,,,,
Liu_2020,Carbon,1.0 ,Oxygen,274.15,3.5,0.006,SDS,0.3,THF,4.0 ,0,0.0476,,,,
Yan_2018,None,0,None,279,3,0,None,0,None,0,400,0.0287,,,,
Yan_2018,None,0,None,279,3.15,0,None,0,None,0,400,0.0299,,,,
Yan_2018,None,0,None,279,3.3,0,None,0,None,0,400,0.0313,,,,
Yan_2018,None,0,None,279,3.43,0,None,0,None,0,400,0.0323,,,,
Yan_2018,None,0,None,279,3.56,0,None,0,None,0,400,0.033,,,,
Yan_2018,None,0,None,279,3.64,0,None,0,None,0,400,0.0336,,,,
Yan_2018,None,0,None,279,3.69,0,None,0,None,0,400,0.034,,,,
Yan_2018,None,0,None,279,3.8,0,None,0,None,0,400,0.0336,,,,
Yan_2018,None,0,None,279,3.87,0,None,0,None,0,400,0.0334,,,,
Yan_2018,None,0,None,279,4,0,None,0,None,0,400,0.033,,,,
Yan_2018,None,0,None,279,4.2,0,None,0,None,0,400,0.0322,,,,
Yan_2018,None,0,None,279,4.29,0,None,0,None,0,400,0.032,,,,
Yan_2018,None,0,None,279,4.4,0,None,0,None,0,400,0.0317,,,,
Yan_2018,None,0,None,279,4.5,0,None,0,None,0,400,0.0313,,,,
Yan_2018,None,0,None,279,4.6,0,None,0,None,0,400,0.0307,,,,
Yan_2018,None,0,None,279,4.7,0,None,0,None,0,400,0.0304,,,,
Yan_2018,None,0,None,279,4.8,0,None,0,None,0,400,0.0303,,,,
Yan_2018,None,0,None,279,5,0,None,0,None,0,400,0.0302,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3,0.005,None,0,None,0,400,0.0309,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.15,0.005,None,0,None,0,400,0.0318,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.3,0.005,None,0,None,0,400,0.0334,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.43,0.005,None,0,None,0,400,0.0354,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.56,0.005,None,0,None,0,400,0.0378,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.64,0.005,None,0,None,0,400,0.0389,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.69,0.005,None,0,None,0,400,0.0397,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.8,0.005,None,0,None,0,400,0.039,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.87,0.005,None,0,None,0,400,0.0384,,,,
Yan_2018,Carbon,1.15,Oxygen,279,4,0.005,None,0,None,0,400,0.037,,,,
Yan_2018,Carbon,1.15,Oxygen,279,4.2,0.005,None,0,None,0,400,0.0361,,,,
Yan_2018,Carbon,1.15,Oxygen,279,4.29,0.005,None,0,None,0,400,0.0359,,,,
Yan_2018,Carbon,1.15,Oxygen,279,4.4,0.005,None,0,None,0,400,0.0356,,,,
Yan_2018,Carbon,1.15,Oxygen,279,4.5,0.005,None,0,None,0,400,0.035,,,,
Yan_2018,Carbon,1.15,Oxygen,279,4.6,0.005,None,0,None,0,400,0.0344,,,,
Yan_2018,Carbon,1.15,Oxygen,279,4.7,0.005,None,0,None,0,400,0.0342,,,,
Yan_2018,Carbon,1.15,Oxygen,279,4.8,0.005,None,0,None,0,400,0.0338,,,,
Yan_2018,Carbon,1.15,Oxygen,279,5,0.005,None,0,None,0,400,0.0337,,,,
Yan_2018,None,0,None,279,3.8,0,None,0,None,0,400,0.0336,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.8,0.002,None,0,None,0,400,0.0354,,,,
Yan_2018,Carbon,1.15,Oxygen,279,3.8,0.0035,None,0,None,0,400,0.0373,,,,
